TableName, FieldName
RepoSetups, Param_Weeks_Options
RepoSetups, programmer_comments
RepoSetups, RecordDelimiter
RepoSetups, ReportCategory
RepoSetups, ReportID
RepoSetups, ReportName
RepoSetups, ReportType
RepoSetups, revision_date
RepoSetups, send_conf_to_email_address
RepoSetups, send_error_to_email_address
RepoSetups, State_ID
RepoSetups, TableToUse
RepoSetups, TableToUse_Name
RepoSetups, Template
RepoSetups, Unused1
RepoSetups, Use_Current_Selection
RepoSetups, Use_Parameters_YN
RepoSetups, UserModifiable
RepoSetups, validation_expression
RepoSetups, Value_Type
RepoSetups, XML_FormatVersion
RepoSetupsItems, DCID
RepoSetupsItems, Conversion_Table_Def_Value
RepoSetupsItems, ConversionTable
RepoSetupsItems, DataToExport
RepoSetupsItems, description
RepoSetupsItems, display_format
RepoSetupsItems, FixedLength_FillChar
RepoSetupsItems, FixedLength_Justification
RepoSetupsItems, FixedLength_Length
RepoSetupsItems, FixedLength_StartPosition
RepoSetupsItems, Internal_ID
RepoSetupsItems, ItemNbr
RepoSetupsItems, MissingValueSymbol
RepoSetupsItems, nbr_of_decimals
RepoSetupsItems, ReportSetupID
RepoSetupsItems, TitleHeading
RepoSetupsItems, trim_nbr_of_chars
RepoSetupsItems, trim_start_at
RepoSetupsItems, Unused1
RepoSetupsItems, user_info
RepoSetupsItems, user_modifiable
RepoSetupsItems, Value_Type
RepoSetupsOrderBy, DCID
RepoSetupsOrderBy, Break_Generation
RepoSetupsOrderBy, Break_Gen_Formula
RepoSetupsOrderBy, Direction_UP
RepoSetupsOrderBy, Field_Number
RepoSetupsOrderBy, Formula_and_Parameters
RepoSetupsOrderBy, Formula_and_Parameters_display
RepoSetupsOrderBy, Internal_ID
RepoSetupsOrderBy, Order_Index
RepoSetupsOrderBy, ReportSetupID
RepoSetupsOrderBy, Table_Number
RepoSetupsOrderBy, Unused1
RepoSetupsOrderBy, Value_Type
RepoSetupsQueries, DCID
RepoSetupsQueries, Comments
RepoSetupsQueries, Internal_ID
RepoSetupsQueries, Order_Index
RepoSetupsQueries, ReportSetupID
RepoSetupsQueries, Simple_Query
RepoSetupsQueries, Table_Name
RepoSetupsQueries, Table_Nbr
RepoSetupsQueries, Type
RepoSetupsQueryItems, DCID
RepoSetupsQueryItems, Comparator
RepoSetupsQueryItems, Conjunction
RepoSetupsQueryItems, Field_Number
RepoSetupsQueryItems, Formula_and_or_Parameters
RepoSetupsQueryItems, Formula_and_or_Parameters_
RepoSetupsQueryItems, Internal_ID
RepoSetupsQueryItems, Order_Index
RepoSetupsQueryItems, QueryID
RepoSetupsQueryItems, Table_Number
RepoSetupsQueryItems, Unused1
RepoSetupsQueryItems, Value_as_String
RepoSetupsQueryItems, Value_Type
RepoSetupsUserData, DCID
RepoSetupsUserData, DefaultValue
RepoSetupsUserData, Description
RepoSetupsUserData, Display_as
RepoSetupsUserData, Display_as_info
RepoSetupsUserData, Internal_ID
RepoSetupsUserData, Name
RepoSetupsUserData, Options
RepoSetupsUserData, Order_Index
RepoSetupsUserData, ReportSetupID
RepoSetupsUserData, Required
RepoSetupsUserData, To_Update
RepoSetupsUserData, Unused1
RepoSetupsUserData, user_info
RepoSetupsUserData, Valid_Lower_Limit
RepoSetupsUserData, Valid_max_nbr_of_chars
RepoSetupsUserData, Valid_min_nbr_of_chars
RepoSetupsUserData, Valid_Upper_Limit
RepoSetupsUserData, Value_Type
RepoSetupsUserDataDefaults, DCID
RepoSetupsUserDataDefaults, DefaultValue
RepoSetupsUserDataDefaults, Internal_ID
RepoSetupsUserDataDefaults, ReportSetupID
RepoSetupsUserDataDefaults, SchoolID
RepoSetupsUserDataDefaults, UserData_name
RepoSetupsVariables, DCID
RepoSetupsVariables, Description
RepoSetupsVariables, Initialization_Value
RepoSetupsVariables, Internal_ID
RepoSetupsVariables, Missing_value_symbol
RepoSetupsVariables, Name
RepoSetupsVariables, Order_Index
RepoSetupsVariables, Permanent_in_Merger
RepoSetupsVariables, ReportSetupID
RepoSetupsVariables, Value
RepoSetupsVariables, Value_Type
RepoSetupsVariables, When_to_set
RObj, DCID
RObj, Custom
RObj, ID
RObj, Label
RObj, Layer
RObj, Name
RObj, Name2
RObj, Page
RObj, ReportID
RObj, Seq
RObj, Text
RObj, Type
RObj, x1
RObj, x2
RObj, y1
RObj, y2
Room, DCID
Room, Building
Room, Department
Room, facilities
Room, House
Room, ID
Room, Name
Room, Occupancy_Maximum
Room, Room_Number
Room, RoomInfo_guid
Room, SchoolID
School_Course, DCID
School_Course, Alt_Course_Number
School_Course, Att_Mode_Code
School_Course, CourseID
School_Course, CreatedBy
School_Course, CreatedDT
School_Course, Exclude_State_Rpt_YN
School_Course, ID
School_Course, ModifiedBy
School_Course, ModifiedDT
School_Course, SchoolCrseInfo_guid
School_Course, SchoolID
School_Course, Status
School_Course, YearID
Schools, DCID
Schools, Abbreviation
Schools, ActiveCrsList
Schools, Address
Schools, Alternate_School_Number
Schools, AsstPrincipal
Schools, AsstPrincipalEmail
Schools, AsstPrincipalPhone
Schools, BulletinEmail
Schools, C_SCHOOL_REGISTRAR.Registrar_email
Schools, C_SCHOOL_REGISTRAR.Registrar_name
Schools, C_SCHOOL_REGISTRAR.Registrar_notes
Schools, C_SCHOOL_REGISTRAR.Registrar_phone
Schools, CountyName
Schools, CountyNbr
Schools, Custom
Schools, DfltNextSchool
Schools, District_Number
Schools, Fee_Exemption_Status
Schools, High_Grade
Schools, Hist_High_Grade
Schools, Hist_Low_Grade
Schools, ID
Schools, IsSummerSchool
Schools, Low_Grade
Schools, Name
Schools, PortalID
Schools, Principal
Schools, PrincipalEmail
Schools, PrincipalPhone
Schools, PSComm_Path
Schools, S_SCH_CRDC_X.CorpPunishment_YN
Schools, S_SCH_CRDC_X.CreditRecovery_YN
Schools, S_SCH_CRDC_X.DualEnrollment_YN
Schools, S_SCH_CRDC_X.FTESecurity_YN
Schools, S_SCH_CRDC_X.JusticeFacilityDays
Schools, S_SCH_CRDC_X.JusticeFacilityHours
Schools, S_SCH_CRDC_X.JusticeFacilityType
Schools, S_SCH_CRDC_X.PreKGAgeNonIDEA3_YN
Schools, S_SCH_CRDC_X.PreKGAgeNonIDEA4_YN
Schools, S_SCH_CRDC_X.PreKGAgeNonIDEA5_YN
Schools, S_SCH_CRDC_X.PrimarySchoolRecord_TF
Schools, S_SCH_CRDC_X.SCH_ID
Schools, S_SCH_CRDC_X.UngradedDetail
Schools, ScheduleWhichSchool
Schools, School_Number
Schools, SchoolAddress
Schools, SchoolCity
Schools, SchoolCountry
Schools, SchoolFax
Schools, SchoolGroup
Schools, SchoolInfo_guid
Schools, SchoolPhone
Schools, SchoolsCoreFields.Att_Sec_Email
Schools, SchoolsSuccessNetFields.AB_PSN_SchoolPID
